SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Mains, Central HF Filter (E4/E6), 480V (3PH), 150, A, 160, 50/60, 22E6T60-3100, C1/500m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 200, A, 100, 50/60, 24E6T60-3001, C1/50m,C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 200, A, 180, 50/60, 24E6T60-3100, C1/500m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 300, A, 50, 50/60, 26E4T60-1001, C2/30m, Umax = 528V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 300, A, 50, 50/60, 26E4T60-1051, C2/30m, Umax = 528V, *For TN/TT/IT networks
Mains, Central HF Filter (E4/E6), 480V (3PH), 330, A, 160, 50/60, 27E6T60-3000, C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 410, A, 50, 50/60, 28E4T60-1001, C2/30m, Umax = 528V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 410, A, 50, 50/60, 28E4T60-1051, C2/30m, Umax = 528V, *For TN/TT/IT networks
Mains, Central HF Filter (E4/E6), 480V (3PH), 650, A, 50, 50/60, 30E4T60-1001, C2/30m, Umax = 528V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 650, A, 50, 50/60, 30E4T60-1051, C2/30m, Umax = 528V, *For TN/TT/IT networks
Mains, Central HF Filter (E4/E6), 480V (3PH), 840, A, 90, 50/60, 33E6T60-3150, C2/30m, Umax = 528V, *For TN/TT/IT networks

Mains, Central HF Filter (E4/E6), 480V (1PH and 3PH), 22, A, 20, 50/60, 14E6T60-4100, C2/300m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (1PH and 3PH), 43, A, 22, 50/60, 16E6T60-4100, C2/300m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (1PH and 3PH), 65, A, 50, 50/60, 18E6T60-4100, C2/300m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (1PH and 3PH), 100, A, 80, 50/60, 20E6T60-4100, C2/300m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (1PH and 3PH), 150, A, 100, 50/60, 22E6T60-4100, C2/300m, Umax = 550V,

Mains, Submounted Filters (E6), Without Integrated Mains Choke, 21, A, 22, 50/60, 14E6T60-1050, C1/50m,C2/100m, Housing 2 Size 14
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 43, A, 31, 50/60, 16E6T60-1050, C1/50m,C2/100m, Housing 2 Size 16
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 59, A, 40, 50/60, 18E6T60-1050, C1/50m,C2/100m, Housing 3 Size 18
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 82, A, 40, 50/60, 20E6T60-1050, C1/50m,C2/100m, Housing 3 Size 20
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 126, A, 109, 50/60, 22E6T60-1050, C1/50m,C2/100m, Housing 4 Size 22
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 330, A, 50, 50/60, 27E6T60-1150, C1/50m,C2/50m, Housing 7 Size 27
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 410, A, 50, 50/60, 28E6T60-1150, C1/50m,C2/50m, Housing 7/8 Size 28
Mains, Submounted Filters (E6), Without Integrated Mains Choke, 600, A, 50, 50/60, 30E6T60-1150, C1/50m,C2/50m, Housing 8 Size 30

Mains, Submounted Filters (E6), With Integrated Mains Choke, 126, A, 230, 50/60, 22E6T60-5150, C1/50m,C2/50m, Housing 4/6 Size 22
Mains, Submounted Filters (E6), With Integrated Mains Choke, 158, A, 265, 50/60, 23E6T60-5150, C1/50m,C2/50m, Housing 6 Size 23
Mains, Submounted Filters (E6), With Integrated Mains Choke, 189, A, 325, 50/60, 24E6T60-5150, C1/50m,C2/50m, Housing 6 Size 24

Mains, HF DC-Filter (E5/E6), , 65, A, 27, , 18E6T60-7B00, C1/50m,C2/100m, 
Mains, HF DC-Filter (E5/E6), , 100, A, 40, , 20E6T60-7B00, C1/50m,C2/100m,
Mains, HF DC-Filter (E5/E6), , 200, A, 70, , 24E6T60-7B00, C1/50m,C2/100m,
Mains, HF DC-Filter (E5/E6), , 410, A, 50, , 28E5T60-7A00, C2/30m, ,
Mains, HF DC-Filter (E5/E6), , 650, A, 50, , 30E5T60-7A00, C2/30m, ,

Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 1.3, A, 0.37, , 05Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 2.6, A, 0.75, , 07Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 4.1, A, 1.5, , 09Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 5.8, A, 2.2, , 10Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 9.5, A, 4, , 12Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 12, A, 5.5, , 13Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 16.5, A, 7.5, , 14Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 24, A, 11, , 15Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 33, A, 15, , 16Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 42, A, 18.5, , 17Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 50, A, 22, , 18Z1G04-1001, , ,
Motor, Sine Filter (Z1), 0-200Hz (4-16kHz switching freq), 60, A, 30, , 19Z1G04-1001, , ,
